Samples#,Group,A16S,ANT6,ANT9,BEXA,EFRA,EMEA,ERMG,FOLP,GYRA,LMRD,LNUA,MEFA,MEFE,MLS23S,MSRD,O23S,RPOB,RPOC,RRSA,RRSH,TET16S,TET32,TET40,TETO,TETQ,TETW,TUFAB,VAND,VANHD,VANRD,VANSD,VANYD,YYBT
GWP_16P_S126_L007,Control,12.50633867,1.234368614,0,0,0,0,0,0,0,0,0,0,0,23.35529344,0,22.41770124,0,0,20.85217123,0,14.67570532,0,0.365205292,0.696743221,0.625115414,0.348371611,0,0,0.478376955,0.82931382,0.972765405,0.642529772,0
GWP_17P_S127_L007,Control,9.62618756,0.27374943,0,0.641461502,0,0,0,0,0,0,0,0,0,24.04464542,0,27.22199507,0,0,21.20388961,0,15.24293727,0,0,0.247229954,1.158360905,0,0,0,0,0.339543284,0,0,0
GWP_18P_S128_L007,Control,7.752870323,0,0,0.368847966,0,0,0,0,0,0,0,0.133470657,0,30.87013605,0,30.26862714,0,0,17.2872697,0,11.1070173,0,0,0,0.408145786,0,0,0.317380808,0.43806388,0.562295268,0.485875121,0,0
GWP_1P_S123_L007,Control,17.89599669,0.619384515,0,0,0,0,0,0,0,0,0,0,0,20.9463418,0,23.77537076,0,0,29.18269969,0,7.220363096,0,0.359843449,0,0,0,0,0,0,0,0,0,0
GWP_2P_S124_L007,Control,12.62803835,1.749443734,0.509238784,0,0,0,0,0,0,0,0,0,0,20.50606733,0,22.53808015,0,0,24.84312581,0,6.523636682,0.996065757,1.188223829,0,0,8.518079574,0,0,0,0,0,0,0
GWP_3P_S125_L007,Control,14.35062483,0.718319898,0,0.506517991,0,0,0,0,0,0,0,0,0,23.50092135,0,20.78782433,0,0,28.00284854,0,10.51111142,0,0,0,0,1.621831644,0,0,0,0,0,0,0
GWP_25P_S132_L007,GWI,13.13304178,0.542645561,0,0,0,0,0,0,0,0,0,0,0,23.84770275,0,20.27571213,0,0,21.90825867,0,17.67802581,0,0.50091385,0,1.123665122,0,0,0.182354148,0,0.807680173,0,0,0
GWP26_S46_L001,GWI,13.53881116,0,0,0,0,0,0,0,0,0,0,0,0,23.16689274,0,28.11968186,0,0,25.70576414,0,6.692068792,0,0.872623221,0.400785544,0,0,0,0,0.487184706,1.016187842,0,0,0
GWP_27P_S133_L007,GWI,32.42320177,2.559156695,0,0,0,0,0,0,0,0,0,0,0,26.10902402,0,0,0,0,38.90861751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWP_4P_S129_L007,GWI,16.30519294,0.53084388,0,0,0,0,0,0,0,0,0,0,0,29.50998417,0,20.46392271,0,0,19.71604163,0,11.00777815,0,0.980039536,0.958836758,0,0.527360217,0,0,0,0,0,0,0
